1/20/23 3:43:56 PM | neil | https://open.spotify.com/album/4BOrXWCcpRDXIdREVNrK3q?si=FJUo4ym4RtCV3jySiUoFlw&utm_source=whatsapp | album
1/20/23 4:09:21 PM | rory | https://open.spotify.com/album/3rCHThZSo7zO5dmmsPjTtQ?si=tEbHsG-eSDiMhQxVuIIgdA&utm_source=whatsapp | album
1/28/23 6:01:20 AM | ferg | https://open.spotify.com/album/4R3tXoorBpHji6Jdms8a4Q?si=SYY-QZDGQV-ISR2-irBVHQ | album
1/28/23 11:23:04 AM | rory | https://open.spotify.com/album/7yQtjAjhtNi76KRu05XWFS?si=5BxoUvTgRT-QhjcdR5fIrw&utm_source=whatsapp | album
1/28/23 11:39:40 AM | dave | https://open.spotify.com/album/0f3hH92jrbuMFJhEhihA0p?si=MaUTcSKZRmqhW4dH5TX38A | album
1/28/23 1:33:18 PM | neil | https://open.spotify.com/album/66UbcdMK6oC2XFPLeESamq?si=HFxrDmMfThGDdEOPqmatjg&utm_source=whatsapp | album
2/3/23 6:13:34 PM | dave | https://open.spotify.com/album/4wTKgCMB1IW73LNXdK6685?si=dDXPR_sHQHiampfc5ZLuzw | album
2/5/23 5:22:54 AM | ferg | https://open.spotify.com/album/64TDaAbxgO0TmKZrIavdLg?si=EbD3UKanReWHpoDBEPabpQ | album
2/6/23 8:29:36 AM | rory | https://open.spotify.com/album/1R8kkopLT4IAxzMMkjic6X?si=3L-XfE19RDuK22BYELa3zA | album
2/6/23 1:13:29 PM | neil | https://open.spotify.com/album/4XOcRShE93Bc4CW2R11dd5?si=7gWpZLV7TXWmb-H0r0-HdQ | album
2/10/23 4:27:54 PM | rory | https://open.spotify.com/album/3LaJpJFSY3cmLFEHJl2z6E?si=tuxxM1H2QsqT-WkXFbBikQ | album
2/10/23 4:28:34 PM | ferg | https://open.spotify.com/album/6wwmFYghPYQzY9BP7uiZFs?si=1SdktgCXR7uIIpMvMnAjhQ | album
2/10/23 4:37:00 PM | dave | https://open.spotify.com/album/6tG8sCK4htJOLjlWwb7gZB?si=YK8IlntIQS6maEmDDxR8dQ | album
2/10/23 5:14:53 PM | neil | https://open.spotify.com/album/7LJdM0B6bp0H78AN7cwqHp?si=YAvl2txQSCen5I5qQ8MTAg | album
2/18/23 12:27:59 PM | dave | https://open.spotify.com/album/6BwMnR9yKSmf5P5PZFAhlq?si=bXGkx01UQ-G0QTlN9d26PA | album
2/18/23 12:31:55 PM | rory | https://open.spotify.com/album/7D9cH2Eu3tUpLE3xn4Ka6e?si=39tluKBzQw-j6V08OGHGVw | album
2/18/23 2:41:15 PM | neil | https://open.spotify.com/album/3V3XJ3Sh62jPUYUMSQ1Tsf?si=xBSJH13-ROKtVanHvoRsDw | album
2/18/23 2:48:39 PM | ferg | https://open.spotify.com/album/5ZTqzCCjEF5pwSnr6o7Jga?si=yL91ZH_xSCCuJBWJVKywpg | album
2/25/23 12:43:50 PM | ferg | https://open.spotify.com/album/658J2tPbnZqhwxKEiczOID?si=JMPEt39rR5eoKSBOin5aYA | album
2/25/23 1:35:49 PM | rory | https://open.spotify.com/album/5G5s00CN4Kmxz340ED2WL2?si=AUdnjte_SqS2H6aUlf1DAw | album
2/25/23 4:10:23 PM | neil | https://open.spotify.com/album/3nTXqOEHr6AfTb1WSaB4Pm?si=0rA6465gQiKhuIpw5SrMuA | album
2/28/23 11:18:18 AM | dave | https://open.spotify.com/album/0tUzItgIRUQ6fzuf57TAX8?si=vOpLshZJTdCAaS05tGlU-A | album
3/3/23 10:45:10 AM | neil | https://open.spotify.com/album/5F3GEttPPR58Gg15BKUsTd?si=CkmqttvURmGgGxH-ydtrJA | album
